"state","state_name","year","overdose_deaths_total","heroin_deaths","natural_semisynth_deaths","synthetic_opioid_deaths","arcos_total_pills_2006_2014"
"WA","Washington",2016,1117,294,293,94,1858634810
"WA","Washington",2017,1168,317,248,136,1858634810
"WA","Washington",2018,1163,328,209,219,1858634810
"WA","Washington",2019,1251,344,198,328,1858634810
"WA","Washington",2020,1726,385,235,661,1858634810
"WA","Washington",2021,2264,342,303,1215,1858634810
"WA","Washington",2022,2753,157,232,1899,1858634810
"WA","Washington",2023,3512,67,252,2687,1858634810
"WA","Washington",2024,3183,37,214,2342,1858634810
"WA","Washington",2025,2965,25,186,2145,1858634810
"WI","Wisconsin",2015,873,NA,NA,NA,1283958368
"WI","Wisconsin",2016,1079,388,325,287,1283958368
"WI","Wisconsin",2017,1177,413,322,464,1283958368
"WI","Wisconsin",2018,1087,331,254,501,1283958368
"WI","Wisconsin",2019,1200,293,238,657,1283958368
"WI","Wisconsin",2020,1531,267,284,1076,1283958368
"WI","Wisconsin",2021,1759,162,300,1293,1283958368
"WI","Wisconsin",2022,1780,128,253,1296,1283958368
"WI","Wisconsin",2023,1744,179,249,1297,1283958368
"WI","Wisconsin",2024,1167,140,190,708,1283958368
"WI","Wisconsin",2025,970,76,136,510,1283958368
"WV","West Virginia",2015,729,200,360,224,853486419
"WV","West Virginia",2016,879,241,325,432,853486419
"WV","West Virginia",2017,997,259,284,644,853486419
"WV","West Virginia",2018,882,202,216,574,853486419
"WV","West Virginia",2019,852,146,168,567,853486419
"WV","West Virginia",2020,1331,144,283,1052,853486419
"WV","West Virginia",2021,1506,45,212,1193,853486419
"WV","West Virginia",2022,1318,25,160,1074,853486419
"WV","West Virginia",2023,1389,NA,142,1158,853486419
"WV","West Virginia",2024,819,NA,85,586,853486419
"WV","West Virginia",2025,669,NA,69,447,853486419
"WY","Wyoming",2015,92,NA,NA,NA,126677136
"WY","Wyoming",2016,93,NA,NA,NA,126677136
"WY","Wyoming",2017,66,NA,30,14,126677136
"WY","Wyoming",2018,61,NA,28,NA,126677136
"WY","Wyoming",2019,72,NA,26,16,126677136
"WY","Wyoming",2020,101,12,29,27,126677136
"WY","Wyoming",2021,101,12,24,36,126677136
"WY","Wyoming",2022,123,NA,28,58,126677136
"WY","Wyoming",2023,127,NA,35,54,126677136
"WY","Wyoming",2024,107,NA,26,32,126677136
"WY","Wyoming",2025,82,NA,21,23,126677136
